mode,delta_E,omega_cavity,ipr,peak_i,peak_j,peak_x,peak_y,center_x,center_y,r_eff,max_amplitude
0,-0.008719183724354158,0.09605405418770244,0.03140773153986361,1,7,6.510984029474241,45.57688820631969,23.510554775714432,22.38859720212291,21.164352510625967,0.2546889362172005
1,-0.00861029779107967,0.09616294012097693,0.03505533404269523,3,7,19.532952088422725,45.57688820631969,25.43549045887052,25.251750406888082,20.591629869805452,0.27114022760887563
2,-0.008219641935583603,0.096553595976473,0.028424747133745643,5,1,32.554920147371206,6.510984029474241,24.32550441706999,22.901972768204306,20.87354715869143,0.2673400369940398
3,-0.008110266686508215,0.09666297122554839,0.035210452820596386,6,0,39.06590417684545,0.0,24.750922634327274,25.12450184040229,20.67257454074764,0.28580587526508916
4,-0.008110266686508215,0.09666297122554839,0.035210452820596386,6,0,39.06590417684545,0.0,24.750922634327274,25.12450184040229,20.67257454074764,0.28580587526508916
5,-0.008103099240541601,0.096670138671515,0.03577728373295696,6,0,39.06590417684545,0.0,24.79925147791748,25.73267770062463,20.379139078497204,0.2638912065548917
6,-0.00797665076362826,0.09679658714842834,0.04168577158253079,7,5,45.57688820631969,32.554920147371206,23.00424544980379,22.30077698708809,21.491007593762507,0.2938038404260923
7,-0.007781345974043774,0.09699189193801283,0.03589613502668575,7,4,45.57688820631969,26.043936117896965,24.536478962002306,23.488847607854325,21.30171603865535,0.2833352839491772
8,-0.007781345974043774,0.09699189193801283,0.03589613502668575,7,4,45.57688820631969,26.043936117896965,24.536478962002306,23.488847607854325,21.30171603865535,0.2833352839491772
9,-0.007536097143497271,0.09723714076855933,0.0410402655161729,1,0,6.510984029474241,0.0,18.62776741217401,23.167038970428212,21.049056640144226,0.3141909319904371
