pos_x,pos_y,k0_omega,k1_omega,k2_omega,k3_omega,k4_omega,k5_omega,k6_omega,k7_omega,k8_omega
0.175,0.175,0.6672544799897633,0.6673933722584198,0.6673933687881437,0.6673933687699877,0.6673933689537362,0.6676739705771593,0.6673874001056196,0.6673873999399886,0.6676739748674231
0.325,0.1,0.664298528121886,0.6643398838410733,0.6643398920330592,0.6645311411824688,0.6645311348652179,0.6645962931982746,0.6645484483710772,0.664548449785024,0.664596284551465
0.1,0.175,0.6654536196288662,0.6658339971446889,0.6658340083125678,0.6655876141097555,0.6655876115533422,0.6662323065121017,0.6656811869629582,0.6656811878937806,0.6662323018687996
0.325,0.325,0.6640950053668895,0.6641423582713178,0.664142356219536,0.6641423583067454,0.664142357978665,0.6641911480048799,0.6641882704014364,0.6641882712466642,0.664191137747501
0.325,0.4,0.6594184261247735,0.6594678243603258,0.6594678231676935,0.659457723082822,0.6594577244432773,0.6595062659776605,0.6595079418525566,0.6595079452001248,0.6595062660956098
0.4,0.1,0.6654314499622542,0.6654690318318754,0.6654690372005011,0.6656654644589054,0.6656654575845374,0.665711105639881,0.6656948339915176,0.6656948355468302,0.6657110935668438
0.25,0.325,0.6673599739475296,0.6674299184862794,0.667429921445991,0.6674056230352092,0.6674056209567135,0.6674838102354971,0.6674672630564464,0.6674672673967696,0.6674838097894126
0.25,0.25,0.6680890653253683,0.6681557446341393,0.6681557441263862,0.6681557406818452,0.6681557402824694,0.6682460723365946,0.6681986477492011,0.6681986474632455,0.6682460705508997
0.1,0.1,0.6699164188965951,0.6705669168220775,0.6669952121381517,0.6705669115578515,0.6669952080719994,0.6717699111158925,0.6699492715915697,0.6699492694904998,0.6717698783151916
0.4,0.175,0.6683873275535155,0.6684256392431437,0.6684256361322781,0.6685068420599879,0.6685068356253212,0.6685503692165408,0.6685398441971119,0.6685398385515403,0.6685503651844701
0.1,0.4,0.665431451275605,0.6656654834556462,0.6656654556883506,0.6654690382657901,0.6654690312416786,0.6657110902481393,0.6656948341482342,0.6656948333664005,0.6657110914105252
0.175,0.1,0.6654536147149824,0.6655876156269052,0.6655876114742104,0.6658339986492201,0.6658339983752148,0.666232306985399,0.6656811862749978,0.6656811870720329,0.6662323020589771
0.175,0.25,0.667678726180808,0.6677989325909711,0.667798932778256,0.6677411401705454,0.6677411383681364,0.667908667131918,0.6678136929131474,0.6678136839996114,0.667908665928986
0.1,0.25,0.6644283100925091,0.6646695202514087,0.6646695163684442,0.66448269742578,0.6644827119871202,0.6647873957087137,0.6646595732688618,0.6646595718978201,0.6647873886638382
0.4,0.325,0.6594184274211474,0.6594577237963606,0.6594577235773881,0.6594678221628859,0.6594678235233564,0.6595062725223437,0.6595079441218212,0.6595079441154753,0.6595062690014281
0.25,0.4,0.6664122455833654,0.6664855225689917,0.6664854978438204,0.6664510786759873,0.6664510760166499,0.6665263263799835,0.6665222830144834,0.6665222880994436,0.6665263420074377
0.1,0.325,0.6642985245301475,0.6645311341150189,0.6645311328238337,0.6643398866520476,0.6643398880925484,0.6645962837770416,0.6645484483793275,0.6645484472878282,0.664588347142497
0.4,0.4,0.6483797165301903,0.6484192062534194,0.6484192067027762,0.6484192056026532,0.648419204999732,0.6484577310418592,0.648460926852403,0.6484609213368968,0.6484577332388265
0.175,0.4,0.6683873353730292,0.6685068369522762,0.6685068386609073,0.6684256439630913,0.668425636026047,0.6685503697031939,0.6685398438832691,0.6685398414606516,0.6685503746999004
0.325,0.175,0.6677078943990705,0.6677516485967335,0.6677516489805599,0.6369054688529133,0.6678253946368025,0.6678857845578784,0.6678522732431804,0.6678521199491815,0.6678857779033349
0.25,0.1,0.6644283106416876,0.6644826965133424,0.6644826914100619,0.6646695233599104,0.6646695173543596,0.6647873963484316,0.664659573190807,0.6646595730916437,0.6647873903485004
0.4,0.25,0.6664124258306967,0.6664510851015395,0.666451075714526,0.6664855033301513,0.6664855125979169,0.6665263316563729,0.666522293492239,0.6665222885748564,0.6665263428659374
0.25,0.175,0.6676787263509458,0.6677411417149365,0.6677411382755037,0.6677989336172678,0.6677989329495059,0.6679086673840611,0.6678136939320528,0.6678136962351878,0.6679086671042143
0.175,0.325,0.6677078963930861,0.667825333547257,0.6678253347286293,0.667751647295768,0.6677516457186391,0.6678857911308517,0.6678522725042424,0.6678522773298539,0.6678857818277653
0.325,0.25,0.6673599737686092,0.667405623661083,0.6674056216465291,0.6674299189761377,0.6674299213042716,0.6674838164107819,0.6674672675820253,0.6674672627292367,0.667483812275585
