idx,polarization,band_index,k_label,twist_deg,omega0,omega_AA,omega_AB,Hxx,Hyy,Hxy,flipped,L_moire,Nx,Ny,domega,Vmin,participation,mode_volume,wkb_S,dVe,invV,J2,J2_stage1
2,TM,5,M,1.1,0.7702442593881534,0.7702442593881534,1.489087378603661,-21.194899913468674,-21.194899913468674,0.0,1,52.087872235793945,128,128,-0.5083513150512471,-0.7188420366522554,728.0716000891608,937746.6789309991,0.0,0.21049072160100835,1.066386074691267e-06,0.2104915747098681,2.478914195608333
4,TM,5,M,1.1,0.8336714285131889,0.8336714285131889,1.5090999054267193,-15.20359543456362,-15.20359543456362,0.0,1,52.087872235793945,128,128,-0.49860438771068855,-0.6754274597318546,597.3596245578797,780955.5836878287,0.0,0.17682307202116604,1.2804825535375517e-06,0.17682409640720886,1.858076377893915
7,TM,5,M,1.1,0.915985058738778,0.915985058738778,1.5283455374853687,-10.609093755688248,-10.609093755688248,0.0,1,52.087872235793945,128,128,-0.46949040039553686,-0.6123595565440496,502.378379568643,663556.7317224287,0.0,0.14286915614851275,1.5070301485816412e-06,0.14287036177263163,1.3670920371117141
3,TM,3,Γ,1.1,0.6328593387084526,0.6328593387084526,0.9998222725374406,19.975756656343822,19.975756656343822,0.0,0,52.087872235793945,128,128,0.1330896379575528,5.526387836241042e-07,1213.6068109434375,1518443.9287456258,0.0,0.13308908531876917,6.585689343340401e-07,0.13308961217391663,2.1851591213402415
5,TM,4,X,1.1,0.7338809430227419,0.7338809430227419,1.1177024934202544,-13.492006172571845,-13.492006172571845,0.0,1,52.087872235793945,128,128,-0.2635381842704732,-0.38382097236999213,837.6482243325089,1066940.2266540953,0.0,0.12028278809951892,9.37259628063684e-07,0.12028353790722138,1.5433723955778058
6,TM,5,X,1.1,0.7395334508274043,0.7395334508274043,1.1177024937171522,13.228908074661982,13.228908074661982,0.0,0,52.087872235793945,128,128,0.1182974205300809,5.695149580958736e-07,834.3197449781931,1063026.515715114,0.0,0.1182968510151228,9.407103070493823e-07,0.11829760358336844,1.5142363320329373
8,TM,4,M,1.1,1.1727547136742467,1.1727547136742467,1.5637911305121464,-11.563356111337075,-11.563356111337075,0.0,1,52.087872235793945,128,128,-0.2763996109345758,-0.39103582794493563,729.7192433452074,939698.853849965,0.0,0.11463621701035981,1.064170713737683e-06,0.1146370683469308,1.3646462554860064
1,TM,4,Γ,1.1,0.7621838562621366,0.7621838562621366,0.9999807035999071,61.49791899924706,61.49791899924706,0.0,0,52.087872235793945,128,128,0.11105789706573493,3.581172602212801e-07,2535.937657498166,4527716.403914258,0.0,0.11105753894847471,2.20861889480421e-07,0.1110577156379863,6.268690401675977
9,TM,3,Γ,1.1,0.5864886599729783,0.5864886599729783,0.9997639647846946,9.348414093693634,9.348414093693634,0.0,0,52.087872235793945,128,128,0.10842168161312539,6.223842811264868e-07,599.4003923230597,783440.7713273768,0.0,0.10842105922884426,1.2764206773483447e-06,0.10842208036538614,1.1511614983990328
11,TM,5,M,1.1,1.0296031047729357,1.0296031047729357,1.546626374271896,-7.054426218795484,-7.054426218795484,0.0,1,52.087872235793945,128,128,-0.40883205832763386,-0.5170224908723351,434.1430658300011,576954.2304193088,0.0,0.10819043254470123,1.733239739438668e-06,0.10819181913649278,0.9639562481635112
10,TM,4,M,1.1,0.8336110731954868,0.8336110731954868,1.2470593805486756,-8.11495075557528,-8.11495075557528,0.0,1,52.087872235793945,128,128,-0.3114758998776432,-0.4134476847083695,544.4986205062132,716055.5573328737,0.0,0.10197178483072633,1.3965396815363708e-06,0.10197290206247156,1.030470700891506
12,TM,4,Γ,1.1,0.6453159461029303,0.6453159461029303,0.9976210777605945,6.975307386130614,6.975307386130614,0.0,0,52.087872235793945,128,128,0.0872258920569339,5.305644289743672e-07,547.6362098463563,719937.4583854412,0.0,0.08722536149250493,1.3890095429159048e-06,0.08722647270013927,0.8921606130375314
