candidate_id,mode_index,delta_omega,omega_cavity,norm_l2,participation_ratio,entropy,localization_length,center_x,center_y,peak_x,peak_y,max_amplitude
0,0,-0.07311285243847816,0.3253389418182835,1.000000000000002,4.206076286825002,1.6514414153963508,0.6902438043164333,0.00032743970963392634,-0.0012340575400648294,0.41339581139519055,-0.41339581139519055,0.5598784009579443
0,1,-0.07171405070919108,0.32673774354757057,0.9999999999999998,4.665746835862239,1.7649512764333404,0.7034641603645329,-0.0013374976081412934,0.0009082491138535482,0.41339581139519055,-0.41339581139519055,0.5272225317441733
0,2,-0.06991977461362577,0.3285320196431359,1.000000000000002,7.11288190262112,2.1620598276655922,0.9323944605382444,0.011113722793976032,-0.0010130333766292872,0.41339581139519055,0.41339581139519055,0.4587895771541106
0,3,-0.06852629599255038,0.32992549826421125,0.9999999999999996,7.334691067020104,2.2363492095240343,0.9574112193730138,-0.0034927812571752346,-0.0011949041975276573,-0.41339581139519055,-0.41339581139519055,0.45999436396903615
0,4,-0.06737175428102121,0.3310800399757404,0.9999999999999998,4.085828352491516,1.9376089951515119,1.2080325435369943,0.2049585684236882,-0.7146279248003635,0.41339581139519055,-1.240187434185568,0.6640585997271609
0,5,-0.06733991012805406,0.33111188412870757,0.9999999999999997,3.976787293104544,1.8468347954392172,1.2127836371762135,-0.2032642462623699,0.7134635999727453,-0.41339581139519055,1.2401874341855716,0.6661426135112583
0,6,-0.06681190761367829,0.33163988664308336,1.000000000000001,5.432722414450972,2.1590534444731757,1.4830201055796746,-0.005040366320232429,0.0054772431834558336,-1.240187434185568,0.41339581139519055,0.5367586446070188
0,7,-0.06606559960753688,0.33238619464922475,1.0000000000000002,6.605421067566122,2.2066798353984467,1.4000637949900896,-0.004021741080980506,0.001773225102506569,-1.240187434185568,0.41339581139519055,0.4919846402078142
0,8,-0.06533898590142317,0.33311280835533846,1.000000000000001,7.733274069523545,2.461555524206219,1.5055354679238813,-0.0029571893189904055,-0.0054970143253150715,-1.240187434185568,-0.41339581139519055,0.4797639303253543
0,9,-0.06491487777708609,0.33353691647967554,0.9999999999999983,11.265328125988415,2.7460088123899142,1.6096292154049407,-0.010670132395132254,0.03178451408988018,-1.240187434185568,1.2401874341855716,0.38722140468639044
0,10,-0.06475520161942928,0.33369659263733237,0.9999999999999987,8.487909244242323,2.4864891011124532,1.6813654792261208,0.028444613996614708,-0.03234387296017699,1.2401874341855716,-1.240187434185568,0.4285177875578702
0,11,-0.06430570525064118,0.3341460890061205,1.0000000000000002,10.357430477547796,2.6295426165427638,1.4801119246038033,-0.004415544475901936,-0.003598273664935927,1.2401874341855716,0.41339581139519055,0.4224218261319253
